               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.1824,              4.5377,              1.9537,              0.8427,             0.79167,             0.87066,             0.55541,                   0,                   0,                   0,            0.070216,           0.0033094,           0.0033094
                   1,              2.0554,              2.5822,              1.8173,             0.89493,             0.70984,             0.93718,             0.65761,                   0,                   0,                   0,             0.04015,           0.0065769,           0.0065769
                   2,              2.0883,              4.0581,              1.7612,             0.64473,             0.79167,             0.75858,             0.48056,                   0,                   0,                   0,            0.010018,           0.0097785,           0.0097785
                   3,              2.1988,               3.034,              1.8598,              0.4285,             0.29167,             0.30124,             0.16011,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.1885,              2.7004,              1.8036,             0.92161,             0.66667,             0.88367,             0.51371,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.1898,               2.237,              1.7641,              0.9243,             0.70833,              0.8577,             0.49301,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.2094,              2.3215,              1.7909,             0.63397,               0.625,             0.67402,             0.39902,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.1707,              2.2623,              1.7787,             0.53242,                0.75,             0.59587,             0.33259,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.2875,              2.7912,              1.7944,             0.65951,                0.75,             0.72832,             0.37221,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.2326,              2.6031,              1.8953,             0.73123,             0.45372,             0.62867,             0.31718,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.2446,              2.5679,              1.8904,             0.50084,             0.66667,             0.58842,             0.33967,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.2552,              2.5821,              1.7936,             0.48093,               0.625,             0.66445,             0.38024,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.1849,              2.3273,              1.8173,              0.8629,             0.70833,              0.8075,             0.49594,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.1618,              2.0048,               1.858,             0.90871,             0.82967,             0.90952,              0.5466,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               2.239,              2.0186,              1.9696,             0.84371,                0.75,             0.88244,             0.50341,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.1557,              1.9497,              1.8334,             0.80305,             0.84984,              0.8677,             0.46308,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.1904,              1.9647,              1.8455,             0.80718,                0.75,              0.8489,             0.48409,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.2627,              2.0636,              1.8922,             0.98302,                0.75,              0.8841,             0.51303,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.1471,              1.8848,              1.7728,             0.83448,             0.79167,             0.84739,              0.5119,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.1299,              1.8232,              1.8296,             0.86452,             0.83333,             0.87611,             0.50009,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.1915,              1.9704,              1.8731,              0.6196,             0.83333,             0.77745,             0.44828,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               2.159,              1.9986,              1.8416,             0.78592,               0.875,             0.86406,             0.54964,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.0442,              1.8703,              1.7339,             0.82133,                0.75,             0.87829,             0.57384,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.0739,              1.8763,              1.8095,             0.76012,             0.92444,             0.93527,             0.61937,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.0246,              1.8928,              1.7402,              0.8151,             0.91846,             0.91233,             0.55036,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.0001,                1.75,              1.7813,             0.82751,             0.91667,             0.90128,             0.56257,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.0363,              1.7951,              1.7625,             0.95343,             0.79167,             0.94653,             0.58345,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.0392,              1.6263,               1.748,             0.94535,               0.875,             0.96975,              0.6225,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              2.1557,              1.8195,               1.802,             0.89581,             0.79167,             0.92497,             0.62855,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.0843,              1.8007,              1.7961,              0.7219,             0.75736,             0.84842,             0.52998,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.9999,              1.6756,              1.7431,             0.89249,             0.69232,             0.84542,             0.53537,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.1588,              1.7756,               1.887,             0.84904,             0.95833,             0.94318,             0.59808,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.0263,              1.7331,              1.7802,             0.90001,               0.875,             0.96256,             0.60646,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.0409,              1.7819,              1.7172,             0.97082,             0.83333,             0.96166,             0.60386,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.9535,              1.4879,              1.6817,             0.90587,             0.91667,             0.95567,             0.60646,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.9156,              1.6138,              1.6867,             0.98933,             0.91667,             0.95798,             0.56998,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.9956,              1.7012,              1.7757,             0.86145,             0.83333,             0.92004,             0.59475,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.0122,              1.6839,              1.7508,             0.79339,             0.83333,             0.90008,             0.53744,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.9976,              1.8022,              1.7714,             0.86509,               0.875,              0.9227,             0.57889,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.9806,              1.6968,              1.8063,             0.83072,             0.79167,             0.91032,             0.52246,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.0005,              1.7368,              1.7707,             0.77152,             0.91667,              0.9055,             0.54997,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.0412,              1.6797,              1.7709,             0.83127,             0.91667,             0.94293,             0.56883,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.9773,              1.5185,              1.7267,             0.80376,             0.85369,             0.93499,             0.57969,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
